date,provider,account_id,account_name,region,service,resource_id,resource_name,instance_type,environment,business_unit,application,owner,status,cost_usd,cpu_utilization_p95,invocations,attached_to,storage_gb,last_access_days
2026-04-02,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.3519,32.8,,,,
2026-04-03,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.5398,36.8,,,,
2026-04-04,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.1479,34.0,,,,
2026-04-05,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.6667,36.4,,,,
2026-04-06,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.0581,35.5,,,,
2026-04-07,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.4122,38.7,,,,
2026-04-08,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.3681,39.0,,,,
2026-04-09,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,10.0055,35.2,,,,
2026-04-10,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.0272,33.4,,,,
2026-04-11,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.4431,42.1,,,,
2026-04-12,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.174,33.3,,,,
2026-04-13,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,8.9121,39.9,,,,
2026-04-14,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.49,39.5,,,,
2026-04-15,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,8.9707,38.1,,,,
2026-04-16,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.259,38.0,,,,
2026-04-17,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.5372,38.0,,,,
2026-04-18,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.4663,37.3,,,,
2026-04-19,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.3226,39.8,,,,
2026-04-20,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,8.6788,35.6,,,,
2026-04-21,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.0426,34.2,,,,
2026-04-22,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.1146,43.7,,,,
2026-04-23,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,8.8968,41.3,,,,
2026-04-24,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,8.5956,35.6,,,,
2026-04-25,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.276,39.6,,,,
2026-04-26,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.4782,40.6,,,,
2026-04-27,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.0874,35.0,,,,
2026-04-28,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.5323,36.2,,,,
