date,provider,account_id,account_name,region,service,resource_id,resource_name,instance_type,environment,business_unit,application,owner,status,cost_usd,cpu_utilization_p95,invocations,attached_to,storage_gb,last_access_days
2026-04-02,AWS,334455667788,analytics,eu-west-1,EBS,vol-00626207665607d22,recommendation-engine-vol-37,,test,Broadband,recommendation-engine,platform-team,in-use,0.2704,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EBS,vol-00c70253a9511f51b,cdn-origin-vol-05,,staging,Security,cdn-origin,media-team,available,0.5316,,,,200.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-00e89031fc8a2f88f,cdn-origin-vol-35,,prod,Broadband,cdn-origin,data-eng,in-use,0.263,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,334455667788,analytics,us-west-2,EBS,vol-0141ad9b2e38ade99,recommendation-engine-vol-02,,prod,Security,recommendation-engine,data-eng,in-use,1.3471,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EBS,vol-021fcf344823f5c3e,subscriber-api-vol-07,,prod,Streaming,subscriber-api,platform-team,in-use,0.2635,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,334455667788,analytics,eu-west-1,EBS,vol-02457a3b05a4693fd,recommendation-engine-vol-22,,dev,Streaming,recommendation-engine,data-eng,in-use,2.6589,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EBS,vol-032f52b3c186f8e37,subscriber-api-vol-03,,prod,Security,subscriber-api,cloudops,in-use,1.3422,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EBS,vol-036d4c14978a1bdc4,vod-transcoder-vol-08,,prod,Analytics,vod-transcoder,data-eng,in-use,0.1326,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-0378e915e452b25be,cdn-origin-vol-06,,prod,Analytics,cdn-origin,data-eng,available,2.5835,,,,1000.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-03d893ba7797f04dc,auth-gateway-vol-27,,prod,Broadband,auth-gateway,platform-team,in-use,2.6595,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EBS,vol-03e5bb03ee624fa1b,cdn-origin-vol-36,,prod,Streaming,cdn-origin,cloudops,in-use,0.2684,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EBS,vol-047fcf5d6ed2f9c93,cdn-origin-vol-10,,prod,Streaming,cdn-origin,data-eng,available,0.5345,,,,200.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EBS,vol-04de241be92207b2d,vod-transcoder-vol-09,,prod,Security,vod-transcoder,cloudops,in-use,1.3136,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-055b76c0b6ebf23e6,vod-transcoder-vol-38,,staging,Analytics,vod-transcoder,cloudops,in-use,2.6402,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EBS,vol-05670ec586341cae0,epg-service-vol-14,,staging,Broadband,epg-service,media-team,in-use,2.6641,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,334455667788,analytics,eu-west-1,EBS,vol-05ed7b2f3dd20bdb0,cdn-origin-vol-33,,staging,Broadband,cdn-origin,cloudops,in-use,0.5279,,,i-01b318fbcbc82d785,200.0,
2026-04-02,AWS,112233445566,prod-media,us-east-1,EBS,vol-05f9760fdb3e23145,recommendation-engine-vol-34,,dev,Analytics,recommendation-engine,media-team,in-use,1.3262,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,334455667788,analytics,us-west-2,EBS,vol-08dedfb883dbdb74f,billing-etl-vol-04,,prod,Analytics,billing-etl,data-eng,in-use,2.6456,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,112233445566,prod-media,us-east-1,EBS,vol-090f199886957ab2f,vod-transcoder-vol-19,,test,Platform,vod-transcoder,media-team,in-use,1.3214,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-0978c4d42bb5abcfd,subscriber-api-vol-17,,staging,Analytics,subscriber-api,media-team,available,1.3454,,,,500.0,
2026-04-02,AWS,334455667788,analytics,us-east-1,EBS,vol-09c283b8a44a5b241,auth-gateway-vol-15,,prod,Broadband,auth-gateway,platform-team,in-use,0.1335,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-09cf577dfad1ccb9e,subscriber-api-vol-16,,dev,Platform,subscriber-api,security-team,in-use,0.2669,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-0a01e29eb42b6fa04,auth-gateway-vol-39,,prod,Security,auth-gateway,cloudops,in-use,0.2631,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,112233445566,prod-media,us-east-1,EBS,vol-0a1f4dc55577a7c74,cdn-origin-vol-30,,prod,Broadband,cdn-origin,media-team,in-use,0.1335,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-0a39d1285b6f45033,epg-service-vol-01,,prod,Analytics,epg-service,media-team,in-use,1.3436,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EBS,vol-0aa5610f3e0f6cd5b,cdn-origin-vol-25,,prod,Analytics,cdn-origin,platform-team,in-use,0.2653,,,i-01b318fbcbc82d785,100.0,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EBS,vol-0ac405c9111cc6b08,billing-etl-vol-32,,test,Analytics,billing-etl,platform-team,in-use,0.1351,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-0b7b127dd64f913de,cdn-origin-vol-11,,prod,Streaming,cdn-origin,data-eng,in-use,2.6121,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EBS,vol-0bb3bf8f268517535,billing-etl-vol-28,,prod,Security,billing-etl,platform-team,in-use,0.1314,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-0bcebefe766f4ca07,auth-gateway-vol-20,,prod,Analytics,auth-gateway,platform-team,in-use,0.5337,,,i-01b318fbcbc82d785,200.0,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EBS,vol-0c2020b979cd699fc,billing-etl-vol-12,,staging,Streaming,billing-etl,cloudops,in-use,2.6405,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-0cf075bc3f2cb2a44,billing-etl-vol-31,,dev,Security,billing-etl,data-eng,in-use,0.1349,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,us-west-2,EBS,vol-0d11232205b25f2f8,subscriber-api-vol-24,,staging,Analytics,subscriber-api,cloudops,in-use,0.5374,,,i-01b318fbcbc82d785,200.0,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EBS,vol-0d8021bc7b8ba7a5b,subscriber-api-vol-21,,staging,Streaming,subscriber-api,media-team,in-use,1.3416,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,us-east-1,EBS,vol-0d91c7153fe19072b,vod-transcoder-vol-23,,dev,Platform,vod-transcoder,platform-team,in-use,1.3293,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EBS,vol-0db227aac1228a1d4,billing-etl-vol-00,,dev,Analytics,billing-etl,security-team,available,2.6837,,,,1000.0,
2026-04-02,AWS,334455667788,analytics,us-west-2,EBS,vol-0e3785f8936a6c225,billing-etl-vol-13,,dev,Streaming,billing-etl,security-team,in-use,1.3392,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EBS,vol-0e55047ac816ba988,billing-etl-vol-18,,prod,Broadband,billing-etl,security-team,in-use,0.134,,,i-01b318fbcbc82d785,50.0,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EBS,vol-0f5bb7c2e60fcd2cb,subscriber-api-vol-29,,prod,Security,subscriber-api,cloudops,in-use,1.3046,,,i-01b318fbcbc82d785,500.0,
2026-04-02,AWS,334455667788,analytics,us-east-1,EBS,vol-0f9242c5b4fc6702f,auth-gateway-vol-26,,test,Analytics,auth-gateway,cloudops,in-use,2.633,,,i-01b318fbcbc82d785,1000.0,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EC2,i-001af0a2a91aed033,recommendation-engine-m5-50,m5.2xlarge,prod,Security,recommendation-engine,media-team,running,9.118,58.9,,,,
2026-04-02,AWS,112233445566,prod-media,us-east-1,EC2,i-011b7ad18d787e0ed,vod-transcoder-m5-82,m5.xlarge,test,Security,vod-transcoder,security-team,running,4.5347,30.5,,,,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EC2,i-011ea2e1a31cd1190,billing-etl-m5-76,m5.xlarge,prod,Security,billing-etl,media-team,running,4.7088,44.1,,,,
2026-04-02,AWS,112233445566,prod-media,eu-west-1,EC2,i-01340d8aaf25488c8,subscriber-api-m5-30,m5.4xlarge,test,Streaming,subscriber-api,platform-team,running,18.3601,1.6,,,,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EC2,i-013627e2e697519e8,vod-transcoder-r5-63,r5.2xlarge,prod,Security,vod-transcoder,cloudops,running,12.5677,52.1,,,,
2026-04-02,AWS,334455667788,analytics,us-west-2,EC2,i-01a2f6502f8ef06d7,recommendation-engine-m5-55,m5.4xlarge,prod,Broadband,recommendation-engine,data-eng,running,18.4377,22.4,,,,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EC2,i-01b0f27d8bbf7f8eb,cdn-origin-r5-21,r5.2xlarge,prod,Streaming,cdn-origin,data-eng,running,13.0515,36.6,,,,
2026-04-02,AWS,112233445566,prod-media,us-west-2,EC2,i-01b318fbcbc82d785,billing-etl-m5-26,m5.2xlarge,prod,Analytics,billing-etl,media-team,running,9.3519,32.8,,,,
2026-04-02,AWS,223344556677,shared-services,eu-west-1,EC2,i-01e2923aaa5d0d49e,auth-gateway-m5-32,m5.large,prod,Analytics,auth-gateway,security-team,running,2.3155,30.5,,,,
2026-04-02,AWS,223344556677,shared-services,us-east-1,EC2,i-026110cbefff0cb22,subscriber-api-m5-97,m5.large,test,Analytics,subscriber-api,security-team,running,2.3644,32.5,,,,
